wavelength_um,R_plus,T_plus,A_plus,R_minus,T_minus,A_minus,emissivity_same_channel,eta,conservation_plus,conservation_minus
1.576800000000000068e+01,9.349747923146104478e-01,0.000000000000000000e+00,6.502520768538955220e-02,8.310189714090812085e-01,0.000000000000000000e+00,1.689810285909187915e-01,1.689810285909187915e-01,1.039558209055292393e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.576999999999999957e+01,9.357270757673983308e-01,0.000000000000000000e+00,6.427292423260166920e-02,8.369199359897210311e-01,0.000000000000000000e+00,1.630800640102789689e-01,1.630800640102789689e-01,9.880713977767729972e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.577200000000000024e+01,9.364611355306997620e-01,0.000000000000000000e+00,6.353886446930023801e-02,8.424811516104494524e-01,0.000000000000000000e+00,1.575188483895505476e-01,1.575188483895505476e-01,9.397998392025030956e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.577400000000000091e+01,9.371775664326431610e-01,0.000000000000000000e+00,6.282243356735683903e-02,8.477268508605997344e-01,0.000000000000000000e+00,1.522731491394002656e-01,1.522731491394002656e-01,8.945071557204342660e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.577599999999999980e+01,9.378769390210476287e-01,0.000000000000000000e+00,6.212306097895237134e-02,8.526793309437129542e-01,0.000000000000000000e+00,1.473206690562870458e-01,1.473206690562870458e-01,8.519760807733467445e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.577800000000000047e+01,9.385598007302364820e-01,0.000000000000000000e+00,6.144019926976351798e-02,8.573591099940607307e-01,0.000000000000000000e+00,1.426408900059392693e-01,1.426408900059392693e-01,8.120069073617575128e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.577999999999999936e+01,9.392266770124076958e-01,0.000000000000000000e+00,6.077332298759230422e-02,8.617850732381384660e-01,0.000000000000000000e+00,1.382149267618615340e-01,1.382149267618615340e-01,7.744160377426922981e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.578200000000000003e+01,9.398780723880967303e-01,0.000000000000000000e+00,6.012192761190326973e-02,8.659746087924029556e-01,0.000000000000000000e+00,1.340253912075970444e-01,1.340253912075970444e-01,7.390346359569377466e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.578400000000000070e+01,9.405144714480377921e-01,0.000000000000000000e+00,5.948552855196220790e-02,8.699437332434863945e-01,0.000000000000000000e+00,1.300562667565136055e-01,1.300562667565136055e-01,7.057073820455139757e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.578599999999999959e+01,9.411363397936974851e-01,0.000000000000000000e+00,5.886366020630251494e-02,8.737072073407429196e-01,0.000000000000000000e+00,1.262927926592570804e-01,1.262927926592570804e-01,6.742913245295456548e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.578800000000000026e+01,9.417441249536295800e-01,0.000000000000000000e+00,5.825587504637042002e-02,8.772786422886666990e-01,0.000000000000000000e+00,1.227213577113333010e-01,1.227213577113333010e-01,6.446548266496288093e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.578999999999999915e+01,9.423382571857887857e-01,0.000000000000000000e+00,5.766174281421121428e-02,8.806705971005955869e-01,0.000000000000000000e+00,1.193294028994044131e-01,1.193294028994044131e-01,6.166766008519319886e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.579199999999999982e+01,9.429191503024765275e-01,0.000000000000000000e+00,5.708084969752347249e-02,8.838946677193499912e-01,0.000000000000000000e+00,1.161053322806500088e-01,1.161053322806500088e-01,5.902448258312653628e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.579400000000000048e+01,9.434872024102638477e-01,0.000000000000000000e+00,5.651279758973615230e-02,8.869615684052620797e-01,0.000000000000000000e+00,1.130384315947379203e-01,1.130384315947379203e-01,5.652563400500176805e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.579599999999999937e+01,9.440427966506232949e-01,0.000000000000000000e+00,5.595720334937670515e-02,8.898812060497767185e-01,0.000000000000000000e+00,1.101187939502232815e-01,1.101187939502232815e-01,5.416159060084657639e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.579800000000000004e+01,9.445863018359973440e-01,0.000000000000000000e+00,5.541369816400265602e-02,8.926627478901815183e-01,0.000000000000000000e+00,1.073372521098184817e-01,1.073372521098184817e-01,5.192355394581582573e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.580000000000000071e+01,9.451180731147158509e-01,0.000000000000000000e+00,5.488192688528414909e-02,8.953146832983210901e-01,0.000000000000000000e+00,1.046853167016789099e-01,1.046853167016789099e-01,4.980338981639476081e-02,1.000000000000000000e+00,1.000000000000000000e+00
