wavelength_um,R,T,A,R_plus_T_plus_A
1.034750000000000059e+00,8.412696232168207500e-01,4.996629764049464393e-05,1.586804104855387421e-01,1.000000000000000000e+00
1.034999999999999920e+00,8.403802876447579173e-01,4.986660309286892556e-05,1.595698457521492197e-01,1.000000000000000000e+00
1.035250000000000004e+00,8.394818038952166495e-01,4.976717737826395245e-05,1.604684289274050935e-01,1.000000000000000000e+00
1.035499999999999865e+00,8.385741241694096848e-01,4.966803424919674664e-05,1.613762077963411257e-01,1.000000000000000000e+00
1.035749999999999948e+00,8.376572018945571685e-01,4.956918796784881825e-05,1.622932289174749965e-01,1.000000000000000000e+00
1.036000000000000032e+00,8.367309918194723029e-01,4.947065332029448940e-05,1.632195375272074145e-01,1.000000000000000000e+00
1.036249999999999893e+00,8.357954501144928550e-01,4.937244563087652056e-05,1.641551774398762598e-01,1.000000000000000000e+00
1.036499999999999977e+00,8.348505344761306679e-01,4.927458077677378972e-05,1.651001909430925563e-01,1.000000000000000000e+00
1.036750000000000060e+00,8.338962042363848859e-01,4.917707520266884020e-05,1.660546186884124531e-01,1.000000000000000000e+00
1.036999999999999922e+00,8.329324204766558326e-01,4.907994593554772819e-05,1.670184995774086079e-01,1.000000000000000000e+00
1.037250000000000005e+00,8.319591461471842475e-01,4.898321059960375717e-05,1.679918706422161567e-01,1.000000000000000000e+00
1.037500000000000089e+00,8.309763461914430049e-01,4.888688743120859554e-05,1.689747669211257852e-01,1.000000000000000000e+00
1.037749999999999950e+00,8.299839876759298463e-01,4.879099529395393512e-05,1.699672213287762024e-01,1.000000000000000000e+00
1.038000000000000034e+00,8.289820399256248029e-01,4.869555369370950080e-05,1.709692645206814798e-01,1.000000000000000000e+00
1.038249999999999895e+00,8.279704746652095659e-01,4.860058279369478207e-05,1.719809247519967499e-01,1.000000000000000000e+00
1.038499999999999979e+00,8.269492661661200783e-01,4.850610342952422203e-05,1.730022277304504030e-01,1.000000000000000000e+00
1.038750000000000062e+00,8.259183913999000870e-01,4.841213712420932278e-05,1.740331964629757144e-01,1.000000000000000000e+00
1.038999999999999924e+00,8.248778301976644745e-01,4.831870610306550378e-05,1.750738510962324690e-01,1.000000000000000000e+00
1.039250000000000007e+00,8.238275654160295280e-01,4.822583330850009766e-05,1.761242087506619813e-01,1.000000000000000000e+00
1.039499999999999869e+00,8.227675831099109383e-01,4.813354241466293027e-05,1.771842833476743873e-01,1.000000000000000000e+00
1.039749999999999952e+00,8.216978727118666725e-01,4.804185784188096824e-05,1.782540854302914479e-01,1.000000000000000000e+00
1.040000000000000036e+00,8.206184272186147766e-01,4.795080477088617540e-05,1.793336219766143436e-01,1.000000000000000000e+00
1.040249999999999897e+00,8.195292433845402513e-01,4.786040915674038876e-05,1.804228962063030017e-01,1.000000000000000000e+00
1.040499999999999980e+00,8.184303219227813120e-01,4.777069774247450060e-05,1.815219073794762106e-01,1.000000000000000000e+00
1.040750000000000064e+00,8.173216677133802177e-01,4.768169807232363960e-05,1.826306505885474663e-01,1.000000000000000000e+00
1.040999999999999925e+00,8.162032900195738128e-01,4.759343850457549516e-05,1.837491165419216088e-01,1.000000000000000000e+00
1.041250000000000009e+00,8.150752027112505571e-01,4.750594822393659864e-05,1.848772913405254958e-01,1.000000000000000000e+00
1.041499999999999870e+00,8.139374244969191929e-01,4.741925725337957663e-05,1.860151562458274288e-01,1.000000000000000000e+00
1.041749999999999954e+00,8.127899791632706705e-01,4.733339646540530785e-05,1.871626874402639307e-01,1.000000000000000000e+00
1.042000000000000037e+00,8.116328958229975798e-01,4.724839759267822136e-05,1.883198557794097394e-01,1.000000000000000000e+00
1.042249999999999899e+00,8.104662091710368443e-01,4.716429323794582492e-05,1.894866265357252055e-01,1.000000000000000000e+00
1.042499999999999982e+00,8.092899597488358854e-01,4.708111688320688111e-05,1.906629591342809127e-01,1.000000000000000000e+00
1.042750000000000066e+00,8.081041942172447756e-01,4.699890289802475119e-05,1.918488068798571977e-01,1.000000000000000000e+00
1.042999999999999927e+00,8.069089656378818365e-01,4.691768654697144584e-05,1.930441166755711979e-01,1.000000000000000000e+00
